#{"t_start": 1744127852.3447914, "env_id": "None"}
r,l,t
162.18008,182,1031.297813
47.500027,200,1043.016694
28.999962,200,1043.695642
14.999995,200,1044.350458
45.000195,200,1045.059739
162.1,140,1045.479338
44.500103,200,1046.097793
43.500225,200,1046.761721
163.18004,82,1047.037748
46.000164,200,1047.707973
27.999977,200,1048.356784
1.5000019,200,1048.983389
161.81018,169,1049.543527
12.999987,200,1050.179729
26.999975,200,1050.83938
44.500156,200,1051.47948
28.499958,200,1052.149448
49.00023,200,1052.813537
45.50009,200,1053.467885
48.0,200,1054.055614
12.999976,200,1054.709675
25.499956,200,1055.377934
161.68002,182,1055.94959
42.499996,200,1065.851669
161.91008,159,1066.367419
26.99997,200,1067.002547
32.500107,200,1067.66794
44.000072,200,1068.243664
68.50008,200,1068.889464
44.000195,200,1069.511936
43.000187,200,1070.19681
48.000057,200,1070.941847
29.499962,200,1071.765887
44.000103,200,1072.789773
28.499977,200,1073.465356
28.499971,200,1074.18757
27.499977,200,1074.861854
27.99996,200,1075.539714
52.000294,200,1076.210867
45.00002,200,1076.905589
66.99996,200,1077.596528
162.47998,152,1078.131779
13.499958,200,1078.833602
162.79012,121,1079.280419
162.15016,185,1091.335842
27.999966,200,1091.996541
16.499968,200,1092.651848
13.999958,200,1093.318538
43.999973,200,1093.989304
164.60002,90,1094.271462
162.13008,187,1094.875512
162.78001,122,1095.292796
12.999987,200,1095.947517
45.000183,200,1096.601346
165.44016,156,1097.119552
163.56013,194,1097.739667
44.00025,200,1098.408299
161.32013,168,1098.962438
27.99996,200,1099.615458
46.00005,200,1100.269644
28.999968,200,1101.230882
28.499979,200,1102.076074
43.000107,200,1102.711478
162.10002,190,1103.371616
43.500114,200,1104.060409
52.499996,200,1104.682477
44.000008,200,1114.907459
44.000168,200,1115.585395
161.05006,145,1116.079315
66.99982,200,1116.743878
66.99992,200,1117.423489
27.99996,200,1118.109769
162.89005,61,1118.319316
42.49997,200,1118.98164
72.999985,200,1119.65762
162.83002,67,1119.862641
28.499958,200,1120.477815
51.500248,200,1121.141388
48.500114,200,1121.831364
43.50021,200,1122.555865
28.499958,200,1123.237907
30.499977,200,1123.933717
52.500088,200,1124.596497
162.49011,151,1125.110752
34.500153,200,1125.783651
25.999954,200,1126.475606
28.499958,200,1127.128749
28.499962,200,1127.806787
12.499967,200,1140.261228
29.499962,200,1140.884652
69.49993,200,1141.466509
52.000004,200,1142.147438
162.08002,142,1142.61143
36.000237,200,1143.253551
166.65004,135,1143.685289
67.50015,200,1144.306478
163.25003,125,1144.712549
44.500034,200,1145.372489
45.5,200,1146.037547
15.999981,200,1146.717392
44.50012,200,1147.4796
161.80006,170,1148.23803
46.000206,200,1148.995361
43.499992,200,1149.656326
13.999982,200,1150.341361
42.500183,200,1150.909573
44.500134,200,1151.441402
27.999962,200,1152.06524
28.499962,200,1152.670429
16.499973,200,1153.301762
26.999968,200,1163.570377
44.50006,200,1164.232299
71.49991,200,1164.885187
45.00006,200,1165.536585
44.000206,200,1166.217456
27.499968,200,1167.027634
45.00014,200,1167.935602
43.000095,200,1168.984799
161.69002,181,1169.67748
27.49997,200,1170.343532
44.49998,200,1170.979293
45.5,200,1171.590791
46.00004,200,1172.491503
44.500053,200,1173.304613
11.499996,200,1174.261604
42.999992,200,1175.14366
162.64003,186,1175.854576
27.49997,200,1176.521578
44.500294,200,1177.170439
28.49996,200,1177.84563
43.500134,200,1178.519455
10.999955,200,1189.483748
45.000156,200,1190.141422
28.99996,200,1190.769622
49.500076,200,1191.359302
165.98007,152,1191.839494
165.27002,173,1192.561307
69.49985,200,1193.221337
162.26001,124,1193.663496
44.499977,200,1194.477587
164.24005,76,1194.759563
44.50008,200,1195.411592
27.499968,200,1195.993335
44.000114,200,1196.614497
162.41005,109,1196.961241
45.50008,200,1197.587769
26.49997,200,1198.129579
27.999956,200,1198.7836
27.99996,200,1199.412656
162.16,84,1199.6594
44.500072,200,1200.266589
67.5,200,1200.809284
44.99999,200,1201.601655
167.85004,115,1202.031931
28.999971,200,1212.121728
46.000004,200,1212.731471
52.500286,200,1213.374341
26.999964,200,1214.007539
52.000122,200,1214.665459
70.99984,200,1215.316556
45.000027,200,1215.87956
162.40002,160,1216.384034
166.07014,143,1216.83941
69.49994,200,1217.489833
51.0,200,1218.141531
12.499984,200,1218.804051
94.00012,200,1219.460363
51.000042,200,1220.121086
163.58011,142,1220.585282
162.57004,93,1220.873552
45.500053,200,1221.505136
68.00024,200,1222.254345
67.50002,200,1223.199266
11.499955,200,1224.016144
163.43002,157,1224.659559
162.10016,190,1225.272674
44.500042,200,1235.303897
185.85008,165,1235.824407
69.49991,200,1236.404954
28.999973,200,1237.036917
45.000168,200,1237.639443
1.5000017,200,1238.245437
45.000183,200,1238.839491
69.49982,200,1239.363218
43.500008,200,1240.059326
162.72011,128,1240.409377
15.499968,200,1240.985539
163.90009,110,1241.30164
49.50016,200,1241.961942
44.500023,200,1242.625474
163.81003,119,1243.024381
161.67,83,1243.301571
43.00002,200,1243.929586
162.11005,139,1244.357574
27.999964,200,1245.017611
13.499962,200,1245.709555
67.500015,200,1246.375216
65.499985,200,1247.040452
45.00021,200,1247.663881
42.499977,200,1258.739434
162.23003,127,1259.11949
34.00004,200,1259.741415
29.999958,200,1260.401635
66.999756,200,1261.012507
162.5501,145,1261.33326
27.999979,200,1261.76526
35.00006,200,1262.291384
52.000107,200,1262.681357
46.000214,200,1263.184361
46.50026,200,1263.595439
